itemid,cluster
211,87
218,13
440,7
455,13
540,78
544,7
438,20
437,16
523,20
412,122
472,21
443,149
473,90
456,13
462,13
450,140
423,104
480,159
433,87
414,152
539,108
81427,176
431,87
432,87
415,199
527,0
82659,0
81580,11
81555,2
81553,1
81578,64
81581,52
81575,23
82653,14
82674,14
81582,33
81556,4
81558,6
82665,8
82667,50
81557,9
82666,10
82664,106
82670,26
82669,197
81579,26
82658,30
81586,45
81585,44
82673,48
82672,96
82660,62
81573,180
81576,51
81554,18
474,41
82662,136
82668,85
421,183
426,13
82754,93
82676,5
81577,73
447,13
82748,38
82671,64
481,159
82661,130
82746,61
82747,49
82752,86
82753,35
82750,63
82751,144
82749,39
82831,123
81572,136
81571,194
413,78
444,149
82663,136
475,151
81492,36
535,150
454,13
17550,153
17553,112
81494,25
17549,69
516,13
17570,43
17590,161
17588,192
17547,47
17554,36
81507,43
17578,40
526,133
416,105
82216,133
82755,188
17577,53
17555,193
82911,37
17575,25
17552,59
81459,13
82215,94
82065,89
82218,133
82213,126
82062,28
82248,13
82219,187
82150,156
82143,55
82088,169
82943,34
82066,17
82941,58
82942,88
82939,19
82087,54
82051,97
82052,42
82147,22
82140,111
82136,138
82139,83
82243,190
82134,12
493,66
82151,142
82084,56
82135,71
81420,13
82947,13
82940,31
82082,27
82891,131
82874,164
81496,59
82095,13
81499,69
81442,13
82050,32
528,167
83005,15
82872,162
82916,128
82097,127
82096,145
82901,117
82067,114
82089,170
82094,82
82054,115
82220,67
82090,134
82141,72
82049,116
82221,182
82256,68
82835,13
452,13
82086,139
82083,76
82257,177
82085,29
82212,84
82214,94
418,109
82910,143
82148,101
82137,147
82240,13
82091,46
82053,65
82142,141
82149,91
82897,113
82919,186
82217,108
82098,125
82210,179
82839,13
82861,13
82211,119
545,41
543,21
82242,13
466,133
82241,13
82224,190
82904,80
82899,92
82909,143
82944,13
419,109
82138,110
17561,24
82100,125
81422,132
83296,171
83128,13
83086,70
82900,196
82906,195
82855,13
82892,110
81438,13
83087,157
83089,129
83091,33
83090,163
424,104
83088,148
82898,81
82255,13
453,13
82903,185
81428,133
82918,128
83130,143
81489,3
83129,195
82099,13
82907,154
83464,98
442,13
83131,81
461,13
83134,13
83149,184
83147,108
83292,168
81495,100
83299,13
82836,13
82883,26
82866,35
83076,71
82244,13
83295,185
83294,185
82841,13
82842,13
82890,57
83139,13
82946,13
82945,13
82913,174
82914,95
82915,166
83133,13
83300,13
83445,103
82222,13
82886,43
82245,13
83321,13
17565,3
451,13
17582,77
82878,132
17559,75
82877,104
17548,107
82876,74
81505,60
81435,99
17581,160
17563,79
81493,75
17560,135
81500,24
17557,60
17567,181
17551,120
81503,124
17573,100
83323,149
82912,174
17586,173
17558,98
17572,102
17580,108
17574,137
83291,13
81421,13
82888,137
83301,133
17566,146
83420,121
82246,13
17568,178
81478,102
81446,158
17579,132
17564,103
81501,98
83312,13
83313,13
83293,168
82908,143
83302,13
83429,100
83427,13
538,13
82254,52
82875,198
83447,120
81447,158
83444,102
83452,13
81431,165
484,13
81426,164
525,13
81430,165
536,90
83466,87
467,155
83475,189
441,175
534,41
417,191
427,13
83318,13
495,16
494,16
482,108
448,140
82902,141
83018,172
83470,13
83471,13
537,108
492,66
479,159
490,118
83314,13
83474,13
83451,124
468,172
83317,13
81432,70
425,13
83325,13
83469,13
83488,0
83468,191
459,13
83443,102
81423,160
83465,132
83473,108
83297,185
533,149
