"Id","VirtualMenuStar","OrderingProcessStar","OnlinePaymentStar","OtherComments","UserOrderId","CreatedDate"
802,5,5,5,,14777,2022-01-16T00:43:33.844237Z
801,5,1,5,Food arrived 50 minutes later than the requested time! ,14479,2021-12-08T17:26:32.295815Z
800,5,5,5,Smile ,13892,2021-09-21T05:21:33.518309Z
799,5,5,5,,13886,2021-09-20T02:11:48.826812Z
798,5,5,5,"Your hammer sandwich that you say is Spicy but not to spicy….is actually VERY spicy, my mouth was on fire and I’m south Asian, sadly couldn’t finish it because my taste buds were gone :(",13607,2021-08-29T23:56:25.635394Z
797,5,3,2,Apparently the food got ready sooner the schdeuled pickup time because the foods were not warm enough while serving.,13490,2021-08-28T19:59:01.483751Z
796,5,3,4,KINDA OF SLOW,13007,2021-08-16T02:28:28.748844Z
795,4,4,4,,13031,2021-08-15T21:58:56.591904Z
794,5,5,5,Best Chicken Sandwich!!! Always delivers 😀,12645,2021-08-07T19:27:55.838135Z
793,4,3,3,Painfully slow service,12561,2021-08-05T19:56:38.939395Z
792,4,5,5,,12492,2021-08-03T01:54:31.182171Z
791,4,5,5,More pictures of the food,12300,2021-08-02T05:32:12.709532Z
790,5,5,5,"Food taste is excellent. 
Rice cooking can be improved to have everything perfect 
",11598,2021-07-11T22:07:38.372969Z
789,1,1,1,Don’t make the tip minimum 15% when your staff acts like they do not want to be working. The only service we got was a hello and a goodbye. Doesn’t deserve a tip. The restaurant vibe felt very solitary.,11484,2021-07-09T00:52:12.495279Z
788,4,4,4,Burger was terrible!,11389,2021-07-04T22:51:43.01928Z
787,1,1,1,The food was awful. The chicken super fat and raw! Same for the burguer. ,11200,2021-07-02T00:22:40.261259Z
786,1,2,2,Script does not dit the screen,11202,2021-07-01T20:17:06.745707Z
785,2,2,3,"Beer selection weak - no IPA…no variety

Forced sign up not required, or shouldn’t be. (Go to Tap and Barrel and try their table payment system).

You have totally removed ‘service’. Why would I tip for this?",10734,2021-06-17T20:49:44.943833Z
